BLE_0,BLE_1,BLE_2,BLE_3,Location,,,,,,,,,,
-74,-110,-73,-71,kitchen,,,,,,,,,,
-65,-86,-110,-56,dining_room_1,,,,,,,,,,
-67,-77,-80,-57,dining_room_1,,,,,,,,,,
-67,-85,-81,-56,dining_room_1,,,,,,,,,,
-65,-83,-87,-59,dining_room_1,,,,,,,,,,
-67,-78,-80,-57,dining_room_1,,,,,,,,,,
-66,-79,-87,-61,dining_room_1,,,,,,,,,,
-73,-79,-83,-36,dining_room_1,,,,,,,,,,
-72,-81,-87,-35,dining_room_1,,,,,,,,,,
-71,-110,-80,-38,dining_room_1,,,,,,,,,,
-74,-110,-82,-35,dining_room_1,,,,,,,,,,
-110,-110,-110,-50,dining_room_1,,,,,,,,,,
-76,-110,-79,-57,dining_room_1,,,,,,,,,,
-74,-83,-83,-57,dining_room_1,,,,,,,,,,
-72,-87,-110,-57,dining_room_1,,,,,,,,,,
-69,-110,-110,-57,dining_room_1,,,,,,,,,,
-67,-110,-110,-56,dining_room_1,,,,,,,,,,
-72,-77,-110,-53,dining_room_1,,,,,,,,,,
-67,-110,-85,-56,dining_room_1,,,,,,,,,,
-67,-76,-110,-55,dining_room_1,,,,,,,,,,
-61,-77,-110,-53,dining_room_1,,,,,,,,,,
-61,-70,-73,-57,dining_room_1,,,,,,,,,,
-49,-75,-74,-53,dining_room_1,,,,,,,,,,
-49,-83,-70,-55,dining_room_1,,,,,,,,,,
-48,-110,-71,-55,dining_room_1,,,,,,,,,,
-49,-75,-76,-55,dining_room_1,,,,,,,,,,
-53,-77,-110,-57,dining_room_1,,,,,,,,,,
-57,-86,-79,-46,dining_room_1,,,,,,,,,,
-69,-76,-82,-49,dining_room_1,,,,,,,,,,
-58,-90,-79,-45,dining_room_1,,,,,,,,,,
-58,-79,-110,-46,dining_room_1,,,,,,,,,,
-57,-83,-79,-49,dining_room_1,,,,,,,,,,
-65,-81,-82,-56,dining_room_1,,,,,,,,,,
-69,-79,-74,-54,dining_room_1,,,,,,,,,,
-60,-78,-75,-55,dining_room_1,,,,,,,,,,
-110,-110,-110,-110,dining_room_1,,,,,,,,,,
